frame,timestamp,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,fps,confidence,tracking_status
773,1768440481.5298083,,,,,,,9.55,,lost
774,1768440481.708995,,,,,,,9.49,,lost
775,1768440481.8589435,,,,,,,9.59,,lost
776,1768440482.0102758,,,,,,,9.66,,lost
777,1768440482.1620421,,,,,,,9.62,,lost
779,1768440482.4782515,,,,,,,9.63,,lost
780,1768440482.609873,,,,,,,9.71,,lost
783,1768440483.0430453,,,,,,,9.75,,lost
784,1768440483.2083538,,,,,,,9.69,,lost
785,1768440483.4319327,,,,,,,9.52,,lost
786,1768440483.5793324,,,,,,,9.55,,lost
787,1768440483.7223523,,,,,,,9.52,,lost
788,1768440483.8940933,,,,,,,9.47,,lost
791,1768440484.3989317,,,,,,,9.39,,lost
792,1768440484.561102,,,,,,,9.31,,lost
793,1768440484.7213182,,,,,,,9.26,,lost
794,1768440484.9068983,,,,,,,9.26,,lost
795,1768440485.114387,,,,,,,9.25,,lost
796,1768440485.268287,,,,,,,9.27,,lost
797,1768440485.4039302,,,,,,,9.30,,lost
798,1768440485.545204,,,,,,,9.33,,lost
799,1768440485.691066,,,,,,,9.53,,lost
800,1768440485.8460565,,,,,,,9.63,,lost
801,1768440486.0304601,,,,,,,9.51,,lost
802,1768440486.2014062,,,,,,,9.48,,lost
803,1768440486.3399296,,,,,,,9.46,,lost
804,1768440486.486583,,,,,,,9.53,,lost
805,1768440486.664777,,,,,,,9.46,,lost
806,1768440486.831835,,,,,,,9.44,,lost
809,1768440487.3010757,,,,,,,9.46,,lost
810,1768440487.4640625,,,,,,,9.43,,lost
811,1768440487.6186864,,,,,,,9.37,,lost
816,1768440488.592476,,,,,,,9.09,,lost
820,1768440489.3283184,,,,,,,8.96,,lost
821,1768440489.487383,,,,,,,8.95,,lost
822,1768440489.675747,,,,,,,8.92,,lost
828,1768440490.7500224,,,,,,,8.71,,lost
829,1768440490.9119565,,,,,,,8.69,,lost
833,1768440491.593074,,,,,,,8.63,,lost
835,1768440491.9550486,,,,,,,8.56,,lost
836,1768440492.1160986,,,,,,,8.58,,lost
837,1768440492.2702491,,,,,,,8.57,,lost
838,1768440492.453842,,,,,,,8.50,,lost
839,1768440492.6062636,,,,,,,8.50,,lost
840,1768440492.7400312,,,,,,,8.54,,lost
841,1768440492.8820739,,,,,,,8.55,,lost
842,1768440493.04683,,,,,,,8.66,,lost
844,1768440493.39467,,,,,,,8.69,,lost
845,1768440493.5394983,,,,,,,8.80,,lost
846,1768440493.695519,,,,,,,8.87,,lost
847,1768440493.8663023,,,,,,,8.89,,lost
848,1768440494.0556939,,,,,,,8.88,,lost
849,1768440494.2147033,,,,,,,8.91,,lost
850,1768440494.3577485,,,,,,,9.02,,lost
852,1768440494.678311,,,,,,,9.02,,lost
853,1768440494.8696184,,,,,,,8.97,,lost
854,1768440495.0518136,,,,,,,8.97,,lost
859,1768440495.9116197,,,,,,,9.07,,lost
861,1768440496.2227044,,,,,,,9.09,,lost
862,1768440496.3970714,,,,,,,9.09,,lost
863,1768440496.5868454,,,,,,,9.07,,lost
864,1768440496.779846,,,,,,,9.05,,lost
865,1768440496.9727507,,,,,,,9.06,,lost
866,1768440497.1626694,,,,,,,8.98,,lost
867,1768440497.3388228,,,,,,,8.96,,lost
868,1768440497.51096,,,,,,,8.97,,lost
869,1768440497.6694736,,,,,,,9.01,,lost
870,1768440497.816247,,,,,,,8.99,,lost
871,1768440497.9663835,,,,,,,9.00,,lost
872,1768440498.1171978,,,,,,,9.01,,lost
873,1768440498.2671418,,,,,,,9.04,,lost
874,1768440498.4596286,,,,,,,9.00,,lost
875,1768440498.6253693,,,,,,,8.98,,lost
876,1768440498.81626,,,,,,,8.93,,lost
877,1768440498.9882066,,,,,,,8.95,,lost
878,1768440499.1374345,,,,,,,9.02,,lost
879,1768440499.2931874,,,,,,,9.03,,lost
880,1768440499.4679525,,,,,,,8.98,,lost
881,1768440499.6281118,,,,,,,8.93,,lost
882,1768440499.8261566,,,,,,,8.98,,lost
883,1768440499.9995582,,,,,,,9.01,,lost
884,1768440500.1734996,,,,,,,9.01,,lost
885,1768440500.3420715,,,,,,,9.02,,lost
894,1768440501.800461,,,,,,,9.17,,lost
898,1768440502.5502982,,,,,,,9.19,,lost
899,1768440502.7231205,,,,,,,9.17,,lost
900,1768440502.8795402,,,,,,,9.12,,lost
901,1768440503.0521977,,,,,,,9.07,,lost
902,1768440503.234244,,,,,,,9.01,,lost
903,1768440503.4197462,,,,,,,9.00,,lost
904,1768440503.565272,,,,,,,9.10,,lost
905,1768440503.7196364,,,,,,,9.13,,lost
906,1768440503.8709137,,,,,,,9.18,,lost
907,1768440504.0018332,,,,,,,9.23,,lost
909,1768440504.3367853,,,,,,,9.19,,lost
910,1768440504.4834437,,,,,,,9.25,,lost
911,1768440504.6772182,,,,,,,9.20,,lost
912,1768440504.8306248,,,,,,,9.26,,lost
917,1768440505.6183133,,,,,,,9.23,,lost
918,1768440505.7793694,,,,,,,9.20,,lost
919,1768440505.9274766,,,,,,,9.25,,lost
920,1768440506.0596945,,,,,,,9.24,,lost
921,1768440506.209656,,,,,,,9.30,,lost
922,1768440506.3410459,,,,,,,9.37,,lost
923,1768440506.4823554,,,,,,,9.45,,lost
928,1768440507.2577229,,,,,,,9.73,,lost
929,1768440507.420708,,,,,,,9.72,,lost
931,1768440507.7620733,,,,,,,9.72,,lost
932,1768440507.9474597,,,,,,,9.75,,lost
933,1768440508.0977736,,,,,,,9.81,,lost
934,1768440508.2306457,,,,,,,9.83,,lost
935,1768440508.381945,,,,,,,9.79,,lost
936,1768440508.5248466,,,,,,,9.84,,lost
937,1768440508.7210119,,,,,,,9.72,,lost
938,1768440508.869307,,,,,,,9.76,,lost
939,1768440509.0225976,,,,,,,9.76,,lost
940,1768440509.1829672,,,,,,,9.74,,lost
941,1768440509.3710716,,,,,,,9.72,,lost
942,1768440509.5198524,,,,,,,9.75,,lost
945,1768440510.0164068,,,,,,,9.82,,lost
946,1768440510.1806026,,,,,,,9.79,,lost
947,1768440510.3542254,,,,,,,9.74,,lost
948,1768440510.526993,,,,,,,9.73,,lost
949,1768440510.7004616,,,,,,,9.68,,lost
950,1768440510.8829942,,,,,,,9.61,,lost
951,1768440511.0302901,,,,,,,9.63,,lost
952,1768440511.1643476,,,,,,,9.63,,lost
953,1768440511.3085477,,,,,,,9.61,,lost
954,1768440511.439172,,,,,,,9.62,,lost
955,1768440511.6097925,,,,,,,9.52,,lost
956,1768440511.7840717,,,,,,,9.56,,lost
957,1768440511.9650612,,,,,,,9.52,,lost
958,1768440512.1022844,,,,,,,9.56,,lost
959,1768440512.235709,,,,,,,9.61,,lost
960,1768440512.3877325,,,,,,,9.64,,lost
961,1768440512.5277379,,,,,,,9.74,,lost
962,1768440512.7063577,,,,,,,9.72,,lost
963,1768440512.8971744,,,,,,,9.61,,lost
964,1768440513.0667622,,,,,,,9.55,,lost
965,1768440513.218994,,,,,,,9.58,,lost
966,1768440513.3562307,,,,,,,9.59,,lost
967,1768440513.491504,,,,,,,9.72,,lost
