# Frame_Number,Timestamp_Unix,Timestamp_Human_Readable
327,1744787417.543956,2025-04-16 03:10:17.543
328,1744787417.912956,2025-04-16 03:10:17.912
329,1744787418.194956,2025-04-16 03:10:18.194
330,1744787418.527956,2025-04-16 03:10:18.527
331,1744787418.811956,2025-04-16 03:10:18.811
332,1744787419.214956,2025-04-16 03:10:19.214
333,1744787419.523956,2025-04-16 03:10:19.523
334,1744787419.808956,2025-04-16 03:10:19.808
335,1744787420.161956,2025-04-16 03:10:20.161
336,1744787420.566956,2025-04-16 03:10:20.566
337,1744787420.857956,2025-04-16 03:10:20.857
338,1744787421.194956,2025-04-16 03:10:21.194
339,1744787421.441956,2025-04-16 03:10:21.441
340,1744787421.774956,2025-04-16 03:10:21.774
341,1744787422.060956,2025-04-16 03:10:22.060
342,1744787422.471956,2025-04-16 03:10:22.471
343,1744787422.708956,2025-04-16 03:10:22.708
344,1744787422.942956,2025-04-16 03:10:22.942
345,1744787423.262956,2025-04-16 03:10:23.262
346,1744787423.585956,2025-04-16 03:10:23.585
347,1744787423.977956,2025-04-16 03:10:23.977
348,1744787424.300956,2025-04-16 03:10:24.300
349,1744787424.563956,2025-04-16 03:10:24.563
350,1744787424.924956,2025-04-16 03:10:24.924
351,1744787425.273956,2025-04-16 03:10:25.273
352,1744787425.528956,2025-04-16 03:10:25.528
353,1744787425.886956,2025-04-16 03:10:25.886
354,1744787426.250956,2025-04-16 03:10:26.250
355,1744787426.652956,2025-04-16 03:10:26.652
356,1744787426.973956,2025-04-16 03:10:26.973
357,1744787427.228956,2025-04-16 03:10:27.228
358,1744787427.497956,2025-04-16 03:10:27.497
359,1744787427.762956,2025-04-16 03:10:27.762
360,1744787427.995956,2025-04-16 03:10:27.995
361,1744787428.261956,2025-04-16 03:10:28.261
362,1744787428.628956,2025-04-16 03:10:28.628
363,1744787428.962956,2025-04-16 03:10:28.962
364,1744787429.278956,2025-04-16 03:10:29.278
365,1744787429.612956,2025-04-16 03:10:29.612
366,1744787429.853956,2025-04-16 03:10:29.853
367,1744787430.200956,2025-04-16 03:10:30.200
368,1744787430.489956,2025-04-16 03:10:30.489
369,1744787430.689956,2025-04-16 03:10:30.689
370,1744787431.041956,2025-04-16 03:10:31.041
371,1744787431.300956,2025-04-16 03:10:31.300
372,1744787431.587956,2025-04-16 03:10:31.587
373,1744787431.858956,2025-04-16 03:10:31.858
374,1744787432.170956,2025-04-16 03:10:32.170
375,1744787432.474956,2025-04-16 03:10:32.474
376,1744787432.690956,2025-04-16 03:10:32.690
377,1744787432.891956,2025-04-16 03:10:32.891
378,1744787433.089956,2025-04-16 03:10:33.089
379,1744787433.311956,2025-04-16 03:10:33.311
380,1744787433.518956,2025-04-16 03:10:33.518
381,1744787433.742956,2025-04-16 03:10:33.742
382,1744787434.054956,2025-04-16 03:10:34.054
383,1744787434.281956,2025-04-16 03:10:34.281
384,1744787434.489956,2025-04-16 03:10:34.489
385,1744787434.698956,2025-04-16 03:10:34.698
386,1744787434.905956,2025-04-16 03:10:34.905
387,1744787435.130956,2025-04-16 03:10:35.130
388,1744787435.387956,2025-04-16 03:10:35.387
389,1744787435.717956,2025-04-16 03:10:35.717
390,1744787436.006956,2025-04-16 03:10:36.006
391,1744787436.381956,2025-04-16 03:10:36.381
392,1744787436.759956,2025-04-16 03:10:36.759
393,1744787437.048956,2025-04-16 03:10:37.048
394,1744787437.417956,2025-04-16 03:10:37.417
395,1744787437.780956,2025-04-16 03:10:37.780
396,1744787438.044956,2025-04-16 03:10:38.044
397,1744787438.411956,2025-04-16 03:10:38.411
398,1744787438.768956,2025-04-16 03:10:38.768
399,1744787439.054956,2025-04-16 03:10:39.054
400,1744787439.415956,2025-04-16 03:10:39.415
401,1744787439.705956,2025-04-16 03:10:39.705
402,1744787440.061956,2025-04-16 03:10:40.061
403,1744787440.316956,2025-04-16 03:10:40.316
404,1744787440.709956,2025-04-16 03:10:40.709
405,1744787441.020956,2025-04-16 03:10:41.020
406,1744787441.417956,2025-04-16 03:10:41.417
407,1744787441.753956,2025-04-16 03:10:41.753
408,1744787442.173956,2025-04-16 03:10:42.173
409,1744787442.463956,2025-04-16 03:10:42.463
410,1744787442.693956,2025-04-16 03:10:42.693
411,1744787442.930956,2025-04-16 03:10:42.930
412,1744787443.314956,2025-04-16 03:10:43.314
413,1744787443.734956,2025-04-16 03:10:43.734
414,1744787444.119956,2025-04-16 03:10:44.119
415,1744787444.499956,2025-04-16 03:10:44.499
416,1744787444.826956,2025-04-16 03:10:44.826
417,1744787445.215956,2025-04-16 03:10:45.215
418,1744787445.596956,2025-04-16 03:10:45.596
419,1744787445.990956,2025-04-16 03:10:45.990
420,1744787446.377956,2025-04-16 03:10:46.377
421,1744787446.774956,2025-04-16 03:10:46.774
422,1744787447.183956,2025-04-16 03:10:47.183
423,1744787447.498956,2025-04-16 03:10:47.498
424,1744787447.835956,2025-04-16 03:10:47.835
425,1744787448.207956,2025-04-16 03:10:48.207
426,1744787448.564956,2025-04-16 03:10:48.564
427,1744787448.892956,2025-04-16 03:10:48.892
428,1744787449.241956,2025-04-16 03:10:49.241
429,1744787449.521956,2025-04-16 03:10:49.521
430,1744787449.889956,2025-04-16 03:10:49.889
431,1744787450.256956,2025-04-16 03:10:50.256
432,1744787450.602956,2025-04-16 03:10:50.602
